Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec
30540.33,,,0.032,3340.35,30540.33,45.32,30495.01,0.031,1076.83,0,,,0,,61080.66,45.32,30495.01,0.031,4417.17,,,,,,,,,,,,
31641.54,,,0.031,3460.79,31641.54,46.96,31594.59,0.03,1115.65,0,,,0,,63283.09,46.96,31594.59,0.03,4576.45,,,,,,,,,,,,
31539.66,,,0.031,3449.65,31539.66,46.8,31492.85,0.03,1112.06,0,,,0,,63079.31,46.8,31492.85,0.03,4561.71,,,,,,,,,,,,
31589.37,,,0.031,3455.09,31589.37,46.88,31542.5,0.03,1113.81,0,,,0,,63178.75,46.88,31542.5,0.03,4568.9,,,,,,,,,,,,
31466.01,,,0.031,3441.59,31466.01,46.7,31419.31,0.03,1109.46,0,,,0,,62932.02,46.7,31419.31,0.03,4551.06,,,,,,,,,,,,
31964.69,,,0.03,3496.14,31964.69,47.44,31917.25,0.029,1127.05,0,,,0,,63929.38,47.44,31917.25,0.03,4623.19,,,,,,,,,,,,
30403.78,,,0.032,3325.41,30403.78,45.12,30358.66,0.031,1072.01,0,,,0,,60807.55,45.12,30358.66,0.031,4397.42,,,,,,,,,,,,
31516.02,,,0.031,3447.06,31516.02,46.83,31469.19,0.03,1111.23,0,,,0,,63032.04,46.83,31469.19,0.03,4558.3,,,,,,,,,,,,
31286.48,,,0.031,3421.96,31286.48,46.43,31240.05,0.03,1103.13,0,,,0,,62572.96,46.43,31240.05,0.031,4525.09,,,,,,,,,,,,
31170.32,,,0.031,3409.25,31170.32,46.26,31124.06,0.03,1099.04,0,,,0,,62340.64,46.26,31124.06,0.031,4508.29,,,,,,,,,,,,
31018.41,,,0.031,3392.64,31018.41,46.03,30972.38,0.03,1093.68,0,,,0,,62036.81,46.03,30972.38,0.031,4486.32,,,,,,,,,,,,
31173.93,,,0.031,3409.65,31173.93,46.26,31127.67,0.03,1099.17,0,,,0,,62347.87,46.26,31127.67,0.031,4508.82,,,,,,,,,,,,
30702.05,,,0.032,3358.04,30702.05,45.62,30656.43,0.031,1082.53,0,,,0,,61404.11,45.62,30656.43,0.031,4440.57,,,,,,,,,,,,
31695.09,,,0.031,3466.65,31695.09,47.04,31648.06,0.03,1117.54,0,,,0,,63390.19,47.04,31648.06,0.03,4584.19,,,,,,,,,,,,
31239.09,,,0.031,3416.78,31239.09,46.36,31192.73,0.03,1101.46,0,,,0,,62478.18,46.36,31192.73,0.031,4518.24,,,,,,,,,,,,
31689.49,,,0.031,3466.04,31689.49,47.03,31642.46,0.03,1117.34,0,,,0,,63378.97,47.03,31642.46,0.03,4583.38,,,,,,,,,,,,
31381.12,,,0.031,3432.31,31381.12,46.57,31334.55,0.03,1106.47,0,,,0,,62762.25,46.57,31334.55,0.03,4538.78,,,,,,,,,,,,
32037.79,,,0.03,3504.13,32037.79,47.54,31990.25,0.029,1129.63,0,,,0,,64075.59,47.54,31990.25,0.03,4633.76,,,,,,,,,,,,
31478.37,,,0.031,3442.95,31478.37,46.78,31431.59,0.03,1109.9,0,,,0,,62956.74,46.78,31431.59,0.03,4552.85,,,,,,,,,,,,
30128.24,,,0.032,3295.28,30128.24,44.71,30083.53,0.031,1062.3,0,,,0,,60256.47,44.71,30083.53,0.032,4357.57,,,,,,,,,,,,
30356.2,,,0.032,3320.21,30356.2,45.05,30311.15,0.031,1070.33,0,,,0,,60712.4,45.05,30311.15,0.031,4390.54,,,,,,,,,,,,
30186.39,,,0.032,3301.64,30186.39,44.8,30141.6,0.031,1064.35,0,,,0,,60372.78,44.8,30141.6,0.032,4365.98,,,,,,,,,,,,
31613.76,,,0.031,3457.75,31613.76,46.91,31566.84,0.03,1114.67,0,,,0,,63227.52,46.91,31566.84,0.03,4572.43,,,,,,,,,,,,
31976.12,,,0.03,3497.39,31976.12,47.52,31928.61,0.029,1127.46,0,,,0,,63952.25,47.52,31928.61,0.03,4624.84,,,,,,,,,,,,
31187.54,,,0.031,3411.14,31187.54,46.28,31141.26,0.03,1099.65,0,,,0,,62375.09,46.28,31141.26,0.031,4510.78,,,,,,,,,,,,
31624.38,,,0.031,3458.92,31624.38,46.93,31577.45,0.03,1115.05,0,,,0,,63248.76,46.93,31577.45,0.03,4573.97,,,,,,,,,,,,
31587.52,,,0.031,3454.88,31587.52,46.88,31540.64,0.03,1113.75,0,,,0,,63175.03,46.88,31540.64,0.03,4568.63,,,,,,,,,,,,
30738.95,,,0.032,3362.07,30738.95,45.62,30693.33,0.031,1083.83,0,,,0,,61477.89,45.62,30693.33,0.031,4445.9,,,,,,,,,,,,
31642.57,,,0.031,3460.91,31642.57,47.02,31595.55,0.03,1115.69,0,,,0,,63285.14,47.02,31595.55,0.03,4576.6,,,,,,,,,,,,
31338.21,,,0.031,3427.62,31338.21,46.51,31291.7,0.03,1104.96,0,,,0,,62676.41,46.51,31291.7,0.03,4532.57,,,,,,,,,,,,
31535.53,,,0.031,3449.2,31535.53,46.8,31488.73,0.03,1111.92,0,,,0,,63071.05,46.8,31488.73,0.03,4561.11,,,,,,,,,,,,
31555.6,,,0.031,3451.39,31555.6,46.89,31508.71,0.03,1112.63,0,,,0,,63111.2,46.89,31508.71,0.03,4564.02,,,,,,,,,,,,
32155.11,,,0.03,3516.97,32155.11,47.72,32107.4,0.029,1133.76,0,,,0,,64310.23,47.72,32107.4,0.03,4650.73,,,,,,,,,,,,
30996.01,,,0.031,3390.19,30996.01,46,30950.01,0.03,1092.89,0,,,0,,61992.02,46,30950.01,0.031,4483.08,,,,,,,,,,,,
30088.45,,,0.032,3290.92,30088.45,44.65,30043.8,0.031,1060.89,0,,,0,,60176.9,44.65,30043.8,0.032,4351.82,,,,,,,,,,,,
32202.3,,,0.03,3522.13,32202.3,47.79,32154.51,0.029,1135.43,0,,,0,,64404.61,47.79,32154.51,0.03,4657.55,,,,,,,,,,,,
30988.76,,,0.031,3389.4,30988.76,46.05,30942.71,0.03,1092.64,0,,,0,,61977.51,46.05,30942.71,0.031,4482.04,,,,,,,,,,,,
32112.46,,,0.03,3512.3,32112.46,47.65,32064.8,0.029,1132.26,0,,,0,,64224.92,47.65,32064.8,0.03,4644.56,,,,,,,,,,,,
31262.41,,,0.031,3419.33,31262.41,46.39,31216.02,0.03,1102.29,0,,,0,,62524.82,46.39,31216.02,0.031,4521.61,,,,,,,,,,,,
31114.13,,,0.031,3403.11,31114.13,46.17,31067.96,0.03,1097.06,0,,,0,,62228.26,46.17,31067.96,0.031,4500.17,,,,,,,,,,,,
32214.13,,,0.03,3523.42,32214.13,47.87,32166.26,0.029,1135.85,0,,,0,,64428.27,47.87,32166.26,0.03,4659.27,,,,,,,,,,,,
30628,,,0.032,3349.94,30628,45.51,30582.49,0.031,1079.92,0,,,0,,61256.01,45.51,30582.49,0.031,4429.86,,,,,,,,,,,,
31833.66,,,0.03,3481.81,31833.66,47.24,31786.42,0.03,1122.43,0,,,0,,63667.31,47.24,31786.42,0.03,4604.23,,,,,,,,,,,,
31517.19,,,0.031,3447.19,31517.19,46.77,31470.42,0.03,1111.27,0,,,0,,63034.37,46.77,31470.42,0.03,4558.46,,,,,,,,,,,,
31873.76,,,0.03,3486.19,31873.76,47.3,31826.46,0.029,1123.84,0,,,0,,63747.52,47.3,31826.46,0.03,4610.03,,,,,,,,,,,,
31550.07,,,0.031,3450.79,31550.07,46.82,31503.25,0.03,1112.43,0,,,0,,63100.14,46.82,31503.25,0.03,4563.22,,,,,,,,,,,,
30783.34,,,0.031,3366.93,30783.34,45.68,30737.66,0.03,1085.39,0,,,0,,61566.68,45.68,30737.66,0.031,4452.32,,,,,,,,,,,,
31562.93,,,0.031,3452.2,31562.93,46.84,31516.09,0.03,1112.88,0,,,0,,63125.87,46.84,31516.09,0.03,4565.08,,,,,,,,,,,,
31833.67,,,0.031,3481.81,31833.67,47.3,31786.36,0.029,1122.43,0,,,0,,63667.33,47.3,31786.36,0.03,4604.24,,,,,,,,,,,,
30136.77,,,0.032,3296.21,30136.77,44.78,30091.99,0.031,1062.6,0,,,0,,60273.55,44.78,30091.99,0.032,4358.81,,,,,,,,,,,,
31447.26,,,0.031,3439.54,31447.26,46.67,31400.59,0.03,1108.8,0,,,0,,62894.52,46.67,31400.59,0.03,4548.35,,,,,,,,,,,,
30259.63,,,0.032,3309.65,30259.63,44.91,30214.73,0.031,1066.93,0,,,0,,60519.27,44.91,30214.73,0.032,4376.58,,,,,,,,,,,,
32156.86,,,0.03,3517.16,32156.86,47.72,32109.14,0.029,1133.82,0,,,0,,64313.72,47.72,32109.14,0.03,4650.98,,,,,,,,,,,,
31456.75,,,0.031,3440.58,31456.75,46.68,31410.07,0.03,1109.14,0,,,0,,62913.5,46.68,31410.07,0.03,4549.72,,,,,,,,,,,,
31072.64,,,0.031,3398.57,31072.64,46.11,31026.53,0.03,1095.59,0,,,0,,62145.28,46.11,31026.53,0.031,4494.16,,,,,,,,,,,,
31395.49,,,0.031,3433.88,31395.49,46.65,31348.84,0.03,1106.98,0,,,0,,62790.98,46.65,31348.84,0.03,4540.86,,,,,,,,,,,,
30689.56,,,0.032,3356.67,30689.56,45.54,30644.02,0.031,1082.09,0,,,0,,61379.12,45.54,30644.02,0.031,4438.76,,,,,,,,,,,,
30969.56,,,0.031,3387.3,30969.56,45.96,30923.6,0.03,1091.96,0,,,0,,61939.13,45.96,30923.6,0.031,4479.26,,,,,,,,,,,,
31279.92,,,0.031,3421.24,31279.92,46.42,31233.5,0.03,1102.9,0,,,0,,62559.83,46.42,31233.5,0.031,4524.14,,,,,,,,,,,,
32213.35,,,0.03,3523.34,32213.35,47.8,32165.55,0.029,1135.82,0,,,0,,64426.71,47.8,32165.55,0.03,4659.15,,,,,,,,,,,,
31319.74,,,0.031,3425.6,31319.74,46.54,31273.19,0.03,1104.31,0,,,0,,62639.47,46.54,31273.19,0.03,4529.91,,,,,,,,,,,,
31433.63,,,0.031,3438.05,31433.63,46.65,31386.98,0.03,1108.32,0,,,0,,62867.25,46.65,31386.98,0.03,4546.38,,,,,,,,,,,,
31354.33,,,0.031,3429.38,31354.33,46.53,31307.8,0.03,1105.53,0,,,0,,62708.66,46.53,31307.8,0.031,4534.91,,,,,,,,,,,,
30958.6,,,0.031,3386.1,30958.6,45.94,30912.66,0.03,1091.57,0,,,0,,61917.2,45.94,30912.66,0.031,4477.67,,,,,,,,,,,,
30790.64,,,0.032,3367.73,30790.64,45.69,30744.94,0.031,1085.65,0,,,0,,61581.27,45.69,30744.94,0.031,4453.38,,,,,,,,,,,,
31071.53,,,0.031,3398.45,31071.53,46.11,31025.42,0.03,1095.56,0,,,0,,62143.07,46.11,31025.42,0.031,4494,,,,,,,,,,,,
30881.41,,,0.031,3377.65,30881.41,45.83,30835.58,0.03,1088.85,0,,,0,,61762.81,45.83,30835.58,0.031,4466.51,,,,,,,,,,,,
30640.99,,,0.032,3351.36,30640.99,45.47,30595.52,0.031,1080.38,0,,,0,,61281.98,45.47,30595.52,0.031,4431.73,,,,,,,,,,,,
32074.3,,,0.03,3508.13,32074.3,47.6,32026.7,0.029,1130.91,0,,,0,,64148.59,47.6,32026.7,0.03,4639.04,,,,,,,,,,,,
31655.15,,,0.031,3462.28,31655.15,46.98,31608.18,0.03,1116.13,0,,,0,,63310.31,46.98,31608.18,0.03,4578.42,,,,,,,,,,,,
31020.83,,,0.031,3392.9,31020.83,46.1,30974.74,0.03,1093.77,0,,,0,,62041.67,46.1,30974.74,0.031,4486.68,,,,,,,,,,,,
31539.54,,,0.031,3449.64,31539.54,46.8,31492.73,0.03,1112.06,0,,,0,,63079.07,46.8,31492.73,0.03,4561.69,,,,,,,,,,,,
31878.26,,,0.03,3486.69,31878.26,47.31,31830.96,0.029,1124,0,,,0,,63756.53,47.31,31830.96,0.03,4610.69,,,,,,,,,,,,
30687.35,,,0.032,3356.43,30687.35,45.54,30641.81,0.031,1082.01,0,,,0,,61374.7,45.54,30641.81,0.031,4438.44,,,,,,,,,,,,
31161.75,,,0.031,3408.32,31161.75,46.24,31115.5,0.03,1098.74,0,,,0,,62323.49,46.24,31115.5,0.031,4507.05,,,,,,,,,,,,
30864.65,,,0.032,3375.82,30864.65,45.8,30818.85,0.03,1088.26,0,,,0,,61729.31,45.8,30818.85,0.031,4464.08,,,,,,,,,,,,
30477.03,,,0.032,3333.42,30477.03,45.23,30431.8,0.031,1074.59,0,,,0,,60954.06,45.23,30431.8,0.031,4408.02,,,,,,,,,,,,
31620.7,,,0.031,3458.51,31620.7,46.93,31573.77,0.03,1114.92,0,,,0,,63241.4,46.93,31573.77,0.03,4573.43,,,,,,,,,,,,
31751.92,,,0.031,3472.87,31751.92,47.12,31704.8,0.03,1119.55,0,,,0,,63503.84,47.12,31704.8,0.03,4592.41,,,,,,,,,,,,
31859.41,,,0.03,3484.62,31859.41,47.28,31812.13,0.029,1123.34,0,,,0,,63718.81,47.28,31812.13,0.03,4607.96,,,,,,,,,,,,
31102.08,,,0.031,3401.79,31102.08,46.16,31055.92,0.03,1096.63,0,,,0,,62204.16,46.16,31055.92,0.031,4498.42,,,,,,,,,,,,
31641.11,,,0.031,3460.75,31641.11,46.96,31594.15,0.03,1115.64,0,,,0,,63282.22,46.96,31594.15,0.03,4576.38,,,,,,,,,,,,
31559.36,,,0.031,3451.81,31559.36,46.83,31512.53,0.03,1112.76,0,,,0,,63118.73,46.83,31512.53,0.03,4564.56,,,,,,,,,,,,
30513.15,,,0.032,3337.38,30513.15,45.28,30467.87,0.031,1075.87,0,,,0,,61026.3,45.28,30467.87,0.031,4413.24,,,,,,,,,,,,
30693.17,,,0.032,3357.07,30693.17,45.55,30647.62,0.031,1082.21,0,,,0,,61386.34,45.55,30647.62,0.031,4439.28,,,,,,,,,,,,
31222.19,,,0.031,3414.93,31222.19,46.33,31175.86,0.03,1100.87,0,,,0,,62444.38,46.33,31175.86,0.031,4515.79,,,,,,,,,,,,
31710.14,,,0.031,3468.3,31710.14,47.12,31663.02,0.03,1118.08,0,,,0,,63420.29,47.12,31663.02,0.03,4586.37,,,,,,,,,,,,
31254.96,,,0.031,3418.51,31254.96,46.38,31208.58,0.03,1102.02,0,,,0,,62509.92,46.38,31208.58,0.031,4520.53,,,,,,,,,,,,
31164.75,,,0.031,3408.64,31164.75,46.31,31118.44,0.03,1098.85,0,,,0,,62329.5,46.31,31118.44,0.031,4507.49,,,,,,,,,,,,
30946.1,,,0.031,3384.73,30946.1,45.92,30900.18,0.03,1091.13,0,,,0,,61892.2,45.92,30900.18,0.031,4475.86,,,,,,,,,,,,
30361.32,,,0.032,3320.77,30361.32,45.06,30316.26,0.031,1070.51,0,,,0,,60722.64,45.06,30316.26,0.031,4391.28,,,,,,,,,,,,
32054.55,,,0.03,3505.97,32054.55,47.57,32006.98,0.029,1130.22,0,,,0,,64109.1,47.57,32006.98,0.03,4636.18,,,,,,,,,,,,
30567.25,,,0.032,3343.29,30567.25,45.36,30521.89,0.031,1077.78,0,,,0,,61134.5,45.36,30521.89,0.031,4421.07,,,,,,,,,,,,
31442.67,,,0.031,3439.04,31442.67,46.66,31396.01,0.03,1108.64,0,,,0,,62885.35,46.66,31396.01,0.03,4547.68,,,,,,,,,,,,
31063.62,,,0.031,3397.58,31063.62,46.1,31017.52,0.03,1095.28,0,,,0,,62127.23,46.1,31017.52,0.031,4492.86,,,,,,,,,,,,
31236,,,0.031,3416.44,31236,46.35,31189.64,0.03,1101.35,0,,,0,,62472,46.35,31189.64,0.031,4517.79,,,,,,,,,,,,
31107.24,,,0.031,3402.35,31107.24,46.16,31061.07,0.03,1096.81,0,,,0,,62214.47,46.16,31061.07,0.031,4499.17,,,,,,,,,,,,
31875.19,,,0.03,3486.35,31875.19,47.3,31827.89,0.029,1123.89,0,,,0,,63750.38,47.3,31827.89,0.03,4610.24,,,,,,,,,,,,
31198.67,,,0.031,3412.35,31198.67,46.3,31152.37,0.03,1100.04,0,,,0,,62397.34,46.3,31152.37,0.031,4512.39,,,,,,,,,,,,
31264.98,,,0.031,3419.61,31264.98,46.4,31218.58,0.03,1102.38,0,,,0,,62529.96,46.4,31218.58,0.031,4521.98,,,,,,,,,,,,
31127.91,,,0.031,3404.62,31127.91,46.19,31081.72,0.03,1097.54,0,,,0,,62255.82,46.19,31081.72,0.031,4502.16,,,,,,,,,,,,
30646.17,,,0.032,3351.93,30646.17,45.54,30600.63,0.031,1080.56,0,,,0,,61292.35,45.54,30600.63,0.031,4432.49,,,,,,,,,,,,
30191.98,,,0.032,3302.25,30191.98,44.8,30147.17,0.031,1064.54,0,,,0,,60383.96,44.8,30147.17,0.032,4366.79,,,,,,,,,,,,
31460.76,,,0.031,3441.02,31460.76,46.69,31414.07,0.03,1109.28,0,,,0,,62921.52,46.69,31414.07,0.03,4550.3,,,,,,,,,,,,
31855.46,,,0.031,3484.19,31855.46,47.27,31808.19,0.03,1123.2,0,,,0,,63710.93,47.27,31808.19,0.03,4607.39,,,,,,,,,,,,
30941.55,,,0.031,3384.23,30941.55,45.92,30895.63,0.03,1090.97,0,,,0,,61883.1,45.92,30895.63,0.031,4475.2,,,,,,,,,,,,
30388.46,,,0.032,3323.74,30388.46,45.1,30343.36,0.031,1071.47,0,,,0,,60776.91,45.1,30343.36,0.031,4395.21,,,,,,,,,,,,
30723.98,,,0.032,3360.44,30723.98,45.59,30678.39,0.031,1083.3,0,,,0,,61447.96,45.59,30678.39,0.031,4443.74,,,,,,,,,,,,
31294.96,,,0.031,3422.89,31294.96,46.44,31248.52,0.03,1103.43,0,,,0,,62589.93,46.44,31248.52,0.031,4526.32,,,,,,,,,,,,
29614.81,,,0.033,3239.12,29614.81,44.01,29570.8,0.032,1044.2,0,,,0,,59229.62,44.01,29570.8,0.032,4283.32,,,,,,,,,,,,
31105.9,,,0.031,3402.21,31105.9,46.16,31059.74,0.03,1096.77,0,,,0,,62211.81,46.16,31059.74,0.031,4498.98,,,,,,,,,,,,
31366.93,,,0.031,3430.76,31366.93,46.61,31320.32,0.03,1105.98,0,,,0,,62733.86,46.61,31320.32,0.03,4536.73,,,,,,,,,,,,
31767.08,,,0.031,3474.52,31767.08,47.14,31719.94,0.03,1120.08,0,,,0,,63534.16,47.14,31719.94,0.03,4594.6,,,,,,,,,,,,
31280.72,,,0.031,3421.33,31280.72,46.48,31234.24,0.03,1102.94,0,,,0,,62561.45,46.48,31234.24,0.031,4524.27,,,,,,,,,,,,
30573.36,,,0.032,3343.96,30573.36,45.37,30527.99,0.031,1077.99,0,,,0,,61146.71,45.37,30527.99,0.031,4421.95,,,,,,,,,,,,
30722.93,,,0.032,3360.32,30722.93,45.59,30677.34,0.031,1083.26,0,,,0,,61445.86,45.59,30677.34,0.031,4443.58,,,,,,,,,,,,
31193.14,,,0.031,3411.75,31193.14,46.35,31146.79,0.03,1099.85,0,,,0,,62386.29,46.35,31146.79,0.031,4511.6,,,,,,,,,,,,
31827.79,,,0.03,3481.16,31827.79,47.23,31780.55,0.03,1122.22,0,,,0,,63655.57,47.23,31780.55,0.03,4603.38,,,,,,,,,,,,
31841.77,,,0.03,3482.69,31841.77,47.25,31794.52,0.029,1122.71,0,,,0,,63683.54,47.25,31794.52,0.03,4605.41,,,,,,,,,,,,
29794.34,,,0.033,3258.76,29794.34,44.21,29750.12,0.031,1050.52,0,,,0,,59588.68,44.21,29750.12,0.032,4309.28,,,,,,,,,,,,
31844.11,,,0.031,3482.95,31844.11,47.26,31796.85,0.029,1122.8,0,,,0,,63688.22,47.26,31796.85,0.03,4605.75,,,,,,,,,,,,
30976.55,,,0.031,3388.06,30976.55,46.03,30930.52,0.03,1092.21,0,,,0,,61953.09,46.03,30930.52,0.031,4480.27,,,,,,,,,,,,
31413.25,,,0.031,3435.82,31413.25,46.62,31366.63,0.03,1107.6,0,,,0,,62826.49,46.62,31366.63,0.03,4543.43,,,,,,,,,,,,
31081.68,,,0.031,3399.56,31081.68,46.13,31035.55,0.03,1095.91,0,,,0,,62163.35,46.13,31035.55,0.031,4495.47,,,,,,,,,,,,
31269.04,,,0.031,3420.05,31269.04,46.4,31222.64,0.03,1102.52,0,,,0,,62538.08,46.4,31222.64,0.031,4522.57,,,,,,,,,,,,
30167.37,,,0.032,3299.56,30167.37,44.77,30122.61,0.031,1063.68,0,,,0,,60334.75,44.77,30122.61,0.032,4363.23,,,,,,,,,,,,
30568.78,,,0.032,3343.46,30568.78,45.36,30523.42,0.031,1077.83,0,,,0,,61137.57,45.36,30523.42,0.031,4421.29,,,,,,,,,,,,
31689.61,,,0.031,3466.05,31689.61,47.09,31642.52,0.03,1117.35,0,,,0,,63379.23,47.09,31642.52,0.03,4583.4,,,,,,,,,,,,
31195.58,,,0.031,3412.02,31195.58,46.29,31149.28,0.03,1099.93,0,,,0,,62391.15,46.29,31149.28,0.031,4511.95,,,,,,,,,,,,
