Sets_Ops/sec	Sets_Hits/sec	Sets_Misses/sec	Sets_Avg_Latency	Sets_p50_Latency	Sets_p99_Latency	Sets_p100_Latency	Sets_KB/sec	Gets_Ops/sec	Gets_Hits/sec	Gets_Misses/sec	Gets_Avg_Latency	Gets_p50_Latency	Gets_p99_Latency	Gets_p100_Latency	Gets_KB/sec	Waits_Ops/sec	Waits_Hits/sec	Waits_Misses/sec	Waits_Avg_Latency	Waits_p50_Latency	Waits_p99_Latency	Waits_p100_Latency	Waits_KB/sec	Totals_Ops/sec	Totals_Hits/sec	Totals_Misses/sec	Totals_Avg_Latency	Totals_p50_Latency	Totals_p99_Latency	Totals_p100_Latency	Totals_KB/sec
34051.87			0.029	3724.42	34051.87	50.53	34001.33	0.028	1200.64	0			0		68103.73	50.53	34001.33	0.028	4925.06												
33935.06			0.029	3711.65	33935.06	50.36	33884.7	0.028	1196.52	0			0		67870.13	50.36	33884.7	0.028	4908.17												
33765.95			0.029	3693.15	33765.95	50.11	33715.84	0.028	1190.56	0			0		67531.89	50.11	33715.84	0.028	4883.71												
34256.19			0.028	3746.77	34256.19	50.84	34205.36	0.027	1207.84	0			0		68512.39	50.84	34205.36	0.028	4954.62												
34294.79			0.028	3750.99	34294.79	50.89	34243.89	0.027	1209.2	0			0		68589.58	50.89	34243.89	0.028	4960.2												
33698.98			0.029	3685.83	33698.98	50.01	33648.97	0.028	1188.2	0			0		67397.97	50.01	33648.97	0.028	4874.02												
33705.03			0.029	3686.49	33705.03	50.02	33655.01	0.028	1188.41	0			0		67410.06	50.02	33655.01	0.028	4874.9												
33606.37			0.029	3675.7	33606.37	49.87	33556.5	0.028	1184.93	0			0		67212.74	49.87	33556.5	0.028	4860.63												
33298.7			0.029	3642.04	33298.7	49.42	33249.28	0.028	1174.08	0			0		66597.39	49.42	33249.28	0.029	4816.13												
33675.84			0.029	3683.3	33675.84	49.97	33625.87	0.028	1187.38	0			0		67351.69	49.97	33625.87	0.028	4870.68												
34066			0.029	3725.97	34066	50.55	34015.44	0.028	1201.14	0			0		68132	50.55	34015.44	0.028	4927.11												
33685.87			0.029	3684.39	33685.87	49.99	33635.88	0.028	1187.74	0			0		67371.74	49.99	33635.88	0.028	4872.13												
33493.36			0.029	3663.34	33493.36	49.7	33443.66	0.028	1180.95	0			0		66986.72	49.7	33443.66	0.029	4844.28												
33609.61			0.029	3676.05	33609.61	49.88	33559.73	0.028	1185.05	0			0		67219.22	49.88	33559.73	0.028	4861.1												
33224.6			0.029	3633.94	33224.6	49.31	33175.3	0.028	1171.47	0			0		66449.2	49.31	33175.3	0.029	4805.41												
33749.83			0.029	3691.39	33749.83	50.08	33699.75	0.028	1189.99	0			0		67499.66	50.08	33699.75	0.028	4881.38												
