redis_version,redis_git_sha1,redis_git_dirty,redis_build_id,redis_mode,os,arch_bits,multiplexing_api,atomicvar_api,gcc_version,process_id,run_id,tcp_port,uptime_in_seconds,uptime_in_days,hz,configured_hz,lru_clock,executable,config_file,connected_clients,client_recent_max_input_buffer,client_recent_max_output_buffer,blocked_clients,used_memory,used_memory_human,used_memory_rss,used_memory_rss_human,used_memory_peak,used_memory_peak_human,used_memory_peak_perc,used_memory_overhead,used_memory_startup,used_memory_dataset,used_memory_dataset_perc,allocator_allocated,allocator_active,allocator_resident,total_system_memory,total_system_memory_human,used_memory_lua,used_memory_lua_human,used_memory_scripts,used_memory_scripts_human,number_of_cached_scripts,maxmemory,maxmemory_human,maxmemory_policy,allocator_frag_ratio,allocator_frag_bytes,allocator_rss_ratio,allocator_rss_bytes,rss_overhead_ratio,rss_overhead_bytes,mem_fragmentation_ratio,mem_fragmentation_bytes,mem_not_counted_for_evict,mem_replication_backlog,mem_clients_slaves,mem_clients_normal,mem_aof_buffer,mem_allocator,active_defrag_running,lazyfree_pending_objects,loading,rdb_changes_since_last_save,rdb_bgsave_in_progress,rdb_last_save_time,rdb_last_bgsave_status,rdb_last_bgsave_time_sec,rdb_current_bgsave_time_sec,rdb_last_cow_size,aof_enabled,aof_rewrite_in_progress,aof_rewrite_scheduled,aof_last_rewrite_time_sec,aof_current_rewrite_time_sec,aof_last_bgrewrite_status,aof_last_write_status,aof_last_cow_size,aof_current_size,aof_base_size,aof_pending_rewrite,aof_buffer_length,aof_rewrite_buffer_length,aof_pending_bio_fsync,aof_delayed_fsync,total_connections_received,total_commands_processed,instantaneous_ops_per_sec,total_net_input_bytes,total_net_output_bytes,instantaneous_input_kbps,instantaneous_output_kbps,rejected_connections,sync_full,sync_partial_ok,sync_partial_err,expired_keys,expired_stale_perc,expired_time_cap_reached_count,evicted_keys,keyspace_hits,keyspace_misses,pubsub_channels,pubsub_patterns,latest_fork_usec,migrate_cached_sockets,slave_expires_tracked_keys,active_defrag_hits,active_defrag_misses,active_defrag_key_hits,active_defrag_key_misses,role,connected_slaves,master_replid,master_replid2,master_repl_offset,second_repl_offset,repl_backlog_active,repl_backlog_size,repl_backlog_first_byte_offset,repl_backlog_histlen,used_cpu_sys,used_cpu_user,used_cpu_sys_children,used_cpu_user_children,cluster_enabled,db0:keys,expires,avg_ttl
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,29299,347f62147d7d80cb5883974e37a34448ead023d8,6379,887,0,9,9,4514343,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config11.conf,1,32,0,0,1766624,1.68,4710400,4.49,1826848,1.74,96.70,1062904,531608,703720,56.98,1783240,2031616,4853760,58986446848,54.94,37888,37.00,0,0,0,2621440000,2.44,volatile-ttl,1.14,248376,2.39,2822144,0.97,-143360,2.70,2965544,220,0,0,0,224,jemalloc-5.1.0,0,0,0,6576,0,1631904010,ok,0,-1,278528,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,19,1500014,100000,1.44,0.10,0,0,0,0,0,0.00,0,0,0,0,0,0,172,0,0,0,0,0,0,master,0,bdd01162cab259a5ad36c6f2e03c6e89e429c03c,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.846567,0.595882,0.002248,0.005637,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,4730,5adb963a383ed9273ea422bc8092ad7fcd6b1215,6379,6,0,23,23,4514355,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config12.conf,1,32,0,0,1766560,1.68,4780032,4.56,1913456,1.82,92.32,1062840,531608,703720,56.98,1814952,2072576,5210112,58986446848,54.94,37888,37.00,0,0,0,3040870400,2.83,volatile-lru,1.14,257624,2.51,3137536,0.92,-430080,2.74,3035240,156,0,0,0,160,jemalloc-5.1.0,0,0,0,20000,0,1631904301,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,14502,1500014,100000,1062.18,70.81,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,093e1176443c8c8ed8085fce4a847343abbc8a5f,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.293988,0.117803,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,4792,3808938d0c46e9b2742dafbc8e1ca7242441ddc5,6379,6,0,12,12,4514367,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config13.conf,1,32,0,0,1766560,1.68,4780032,4.56,1826784,1.74,96.70,1062840,531608,703720,56.98,1814968,2072576,7172096,58986446848,54.94,37888,37.00,0,0,0,2726297600,2.54,volatile-ttl,1.14,257608,3.46,5099520,0.67,-2392064,2.74,3035240,156,0,0,0,160,jemalloc-5.1.0,0,0,0,20000,0,1631904313,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,15037,1500014,100000,1101.38,73.42,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,5ba55f9098d6580d2b587464c4a4c980f8e23d85,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.310732,0.123290,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,4850,b9d88edba3d63c12248cb646211871e62b877a75,6379,896,0,3,3,4515269,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config14.conf,1,32,0,0,1766624,1.68,4558848,4.35,1826848,1.74,96.70,1062904,531608,703720,56.98,1865328,2121728,4943872,58986446848,54.94,37888,37.00,0,0,0,1572864000,1.46,volatile-lru,1.14,256400,2.33,2822144,0.92,-385024,2.50,2732088,220,0,0,0,224,jemalloc-5.1.0,0,0,0,6159,0,1631904928,ok,0,-1,282624,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,23,1500014,100000,1.76,0.12,0,0,0,0,0,0.00,0,0,0,0,0,0,174,0,0,0,0,0,0,master,0,cca2303831cc868ff12167c52bcf36121eb65c95,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.744713,0.480408,0.004228,0.006405,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10367,5f5c8d6bcc24b865af216a4408d98703520d5a92,6379,6,0,16,16,4515282,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config15.conf,1,32,0,0,1766608,1.68,4808704,4.59,1826808,1.74,96.70,1062840,531608,703768,56.99,1815136,2072576,5029888,58986446848,54.94,37888,37.00,0,0,0,1782579200,1.66,noeviction,1.14,257440,2.43,2957312,0.96,-221184,2.76,3063864,156,0,0,0,160,jemalloc-5.1.0,0,0,0,20000,0,1631905228,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,1,0,3,20000,20122,1500014,100000,1473.81,98.25,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,8c44736b8a2a3017500c2dd1497f429ea5a5bcbb,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.320258,0.138893,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10435,4df80522516cc1d53262ccc4ee4f50f7b48e0eab,6379,6,0,4,4,4515294,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config16.conf,1,32,0,0,1766624,1.68,4739072,4.52,1826848,1.74,96.70,1062904,531608,703720,56.98,1782176,2031616,5120000,58986446848,54.94,37888,37.00,0,0,0,1048576000,1000.00,volatile-lfu,1.14,249440,2.52,3088384,0.93,-380928,2.78,3036160,220,0,0,0,224,jemalloc-5.1.0,0,0,0,20000,0,1631905240,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,5000,1500014,100000,366.21,24.41,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,20410bcd631bd403814af7875831d0ada94eb376,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.333715,0.130279,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10518,70600bf3e0dcb4535fa08d5ac11c48b3d13bfe36,6379,6,0,5,5,4515307,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config17.conf,1,32,0,0,1766624,1.68,4730880,4.51,1826848,1.74,96.70,1062904,531608,703720,56.98,1782176,2031616,5120000,58986446848,54.94,37888,37.00,0,0,0,1048576000,1000.00,volatile-lfu,1.14,249440,2.52,3088384,0.92,-389120,2.78,3027968,220,0,0,0,224,jemalloc-5.1.0,0,0,0,20000,0,1631905253,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,6250,1500014,100000,457.76,30.52,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,4721632c4aa03117315e2d4522530c350b46755d,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.348981,0.150040,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10625,3306a28b0f42800a64994091f931e23eae50ba15,6379,6,0,28,28,4515319,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config18.conf,1,32,0,0,1766624,1.68,4702208,4.48,1826848,1.74,96.70,1062904,531608,703720,56.98,1782568,2031616,4984832,58986446848,54.94,37888,37.00,0,0,0,1887436800,1.76,volatile-ttl,1.14,249048,2.45,2953216,0.94,-282624,2.69,2957352,220,0,0,0,224,jemalloc-5.1.0,0,0,0,20000,0,1631905265,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,17696,1500014,100000,1296.17,86.41,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,5fd2b66b421a58b7955ef5ce7e834e731bad7c68,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.349632,0.144084,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10708,a26b95c1022181d0cc8944a0205402e7d06aaee1,6379,6,0,22,22,4515331,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config19.conf,1,32,0,0,1766624,1.68,4734976,4.52,1826848,1.74,96.70,1062904,531608,703720,56.98,1782176,2031616,5128192,58986446848,54.94,37888,37.00,0,0,0,1258291200,1.17,allkeys-lfu,1.14,249440,2.52,3096576,0.92,-393216,2.71,2990120,220,0,0,0,224,jemalloc-5.1.0,0,0,0,20000,0,1631905277,ok,-1,-1,0,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,13876,1500014,100000,1016.35,67.76,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,master,0,0605e7a9f5de11d61c5e1fb8016d120fa3b1df4a,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,0.349355,0.143647,0.000000,0.000000,0,10000,0,0
6.2.1,00000000,0,c91470f75d7c181b,standalone,Linux 3.10.0-957.27.2.el7.x86_64 x86_64,64,epoll,atomic-builtin,4.8.5,10818,0fe9bf93258645a707ae1d4b375451405a228d57,6379,715,0,35,35,4516053,/home/swredis/redis-sample-generation/redis-server,/home/swredis/redis-sample-generation/configfile_act/config20.conf,1,32,0,0,1766624,1.68,4718592,4.50,1785896,1.70,98.92,1062904,531608,703720,56.98,1782208,2031616,4898816,58986446848,54.94,37888,37.00,0,0,0,2202009600,2.05,volatile-lru,1.14,249408,2.41,2867200,0.96,-180224,2.70,2973736,220,0,0,0,224,jemalloc-5.1.0,0,0,0,4409,0,1631905892,ok,0,-1,405504,1,0,0,-1,-1,ok,ok,0,1500023,0,0,0,0,0,0,3,20000,14,1500014,100000,1.13,0.08,0,0,0,0,0,0.00,0,0,0,0,0,0,178,0,0,0,0,0,0,master,0,3a8786a0e1fdeb0cc2d5e08bbb05ebfd34b95fe2,0000000000000000000000000000000000000000,0,-1,0,1048576,0,0,1.741549,0.616858,0.005392,0.007959,0,10000,0,0
