Sets_Ops/sec,Sets_Hits/sec,Sets_Misses/sec,Sets_Avg_Latency,Sets_p50_Latency,Sets_p99_Latency,Sets_p100_Latency,Sets_KB/sec,Gets_Ops/sec,Gets_Hits/sec,Gets_Misses/sec,Gets_Avg_Latency,Gets_p50_Latency,Gets_p99_Latency,Gets_p100_Latency,Gets_KB/sec,Waits_Ops/sec,Waits_Hits/sec,Waits_Misses/sec,Waits_Avg_Latency,Waits_p50_Latency,Waits_p99_Latency,Waits_p100_Latency,Waits_KB/sec,Totals_Ops/sec,Totals_Hits/sec,Totals_Misses/sec,Totals_Avg_Latency,Totals_p50_Latency,Totals_p99_Latency,Totals_p100_Latency,Totals_KB/sec
23196.42,,,0.046,1812.22,23196.42,0,23196.42,0.037,815.5,0,,,0,,46392.84,0,23196.42,0.041,2627.72,,,,,,,,,,,,
24801.03,,,0.043,1937.58,24801.03,0,24801.03,0.036,871.91,0,,,0,,49602.07,0,24801.03,0.039,2809.49,,,,,,,,,,,,
31.47,,,39.199,2.46,31.47,0,31.47,25.067,1.11,0,,,0,,62.95,0,31.47,32.133,3.57,,,,,,,,,,,,
20.74,,,61.629,1.62,20.74,0,20.74,34.683,0.73,0,,,0,,41.47,0,20.74,48.156,2.35,,,,,,,,,,,,
24615.08,,,0.042,1923.05,24615.08,0,24615.08,0.036,865.37,0,,,0,,49230.16,0,24615.08,0.039,2788.43,,,,,,,,,,,,
24004.13,,,0.044,1875.32,24004.13,0,24004.13,0.037,843.9,0,,,0,,48008.26,0,24004.13,0.04,2719.22,,,,,,,,,,,,
24047.83,,,0.043,1878.74,24047.83,0,24047.83,0.037,845.43,0,,,0,,48095.65,0,24047.83,0.04,2724.17,,,,,,,,,,,,
23249.22,,,0.044,1816.35,23249.22,0,23249.22,0.037,817.36,0,,,0,,46498.44,0,23249.22,0.041,2633.7,,,,,,,,,,,,
24.04,,,48.75,1.88,24.04,0,24.04,34.17,0.84,0,,,0,,48.07,0,24.04,41.46,2.72,,,,,,,,,,,,
24071.04,,,0.043,1880.55,24071.04,0,24071.04,0.037,846.25,0,,,0,,48142.08,0,24071.04,0.04,2726.8,,,,,,,,,,,,
21.81,,,53.952,1.7,21.81,0,21.81,37.519,0.77,0,,,0,,43.62,0,21.81,45.736,2.47,,,,,,,,,,,,
20,,,62.206,1.56,20,0,20,38.281,0.7,0,,,0,,39.99,0,20,50.244,2.27,,,,,,,,,,,,
23.09,,,52.436,1.8,23.09,0,23.09,34.127,0.81,0,,,0,,46.18,0,23.09,43.282,2.62,,,,,,,,,,,,
25932.26,,,0.04,2025.96,25932.26,0,25932.26,0.035,911.68,0,,,0,,51864.53,0,25932.26,0.038,2937.64,,,,,,,,,,,,
25685.22,,,0.04,2006.66,25685.22,0,25685.22,0.035,903,0,,,0,,51370.43,0,25685.22,0.038,2909.65,,,,,,,,,,,,
23434.3,,,0.044,1830.8,23434.3,0,23434.3,0.037,823.86,0,,,0,,46868.59,0,23434.3,0.041,2654.67,,,,,,,,,,,,
22309.63,,,0.046,1742.94,22309.63,0,22309.63,0.038,784.32,0,,,0,,44619.25,0,22309.63,0.042,2527.26,,,,,,,,,,,,
23881.57,,,0.043,1865.75,23881.57,0,23881.57,0.036,839.59,0,,,0,,47763.13,0,23881.57,0.04,2705.33,,,,,,,,,,,,
18574.59,,,0.054,1451.14,18574.59,0,18574.59,0.051,653.01,0,,,0,,37149.17,0,18574.59,0.053,2104.15,,,,,,,,,,,,
23175.88,,,0.045,1810.62,23175.88,0,23175.88,0.039,814.78,0,,,0,,46351.77,0,23175.88,0.042,2625.39,,,,,,,,,,,,
24399.53,,,0.044,1906.21,24399.53,0,24399.53,0.036,857.8,0,,,0,,48799.06,0,24399.53,0.04,2764.01,,,,,,,,,,,,
24.11,,,53.202,1.88,24.11,0,24.11,29.762,0.85,0,,,0,,48.22,0,24.11,41.482,2.73,,,,,,,,,,,,
20,,,60.75,1.56,20,0,20,39.145,0.7,0,,,0,,40,0,20,49.947,2.27,,,,,,,,,,,,
19.83,,,62.204,1.55,19.83,0,19.83,38.642,0.7,0,,,0,,39.67,0,19.83,50.423,2.25,,,,,,,,,,,,
23330.14,,,0.045,1822.67,23330.14,0,23330.14,0.038,820.2,0,,,0,,46660.29,0,23330.14,0.042,2642.87,,,,,,,,,,,,
22.52,,,57.901,1.76,22.52,0,22.52,30.947,0.79,0,,,0,,45.03,0,22.52,44.424,2.55,,,,,,,,,,,,
21.92,,,56.039,1.71,21.92,0,21.92,35.064,0.77,0,,,0,,43.85,0,21.92,45.552,2.48,,,,,,,,,,,,
24197.49,,,0.044,1890.43,24197.49,0,24197.49,0.037,850.69,0,,,0,,48394.98,0,24197.49,0.04,2741.12,,,,,,,,,,,,
19749.54,,,0.053,1542.93,19749.54,0,19749.54,0.046,694.32,0,,,0,,39499.07,0,19749.54,0.049,2237.25,,,,,,,,,,,,
22680.42,,,0.047,1771.91,22680.42,0,22680.42,0.039,797.36,0,,,0,,45360.83,0,22680.42,0.043,2569.27,,,,,,,,,,,,
24629.75,,,0.042,1924.2,24629.75,0,24629.75,0.036,865.89,0,,,0,,49259.51,0,24629.75,0.039,2790.09,,,,,,,,,,,,
23675.98,,,0.044,1849.69,23675.98,0,23675.98,0.037,832.36,0,,,0,,47351.96,0,23675.98,0.04,2682.04,,,,,,,,,,,,
22185.05,,,0.047,1733.21,22185.05,0,22185.05,0.039,779.94,0,,,0,,44370.1,0,22185.05,0.043,2513.15,,,,,,,,,,,,
23677.55,,,0.044,1849.81,23677.55,0,23677.55,0.037,832.41,0,,,0,,47355.1,0,23677.55,0.04,2682.22,,,,,,,,,,,,
21.71,,,56.808,1.7,21.71,0,21.71,35.382,0.76,0,,,0,,43.41,0,21.71,46.095,2.46,,,,,,,,,,,,
22454.1,,,0.045,1754.23,22454.1,0,22454.1,0.04,789.4,0,,,0,,44908.2,0,22454.1,0.042,2543.63,,,,,,,,,,,,
33.72,,,36.153,2.63,33.72,0,33.72,23.156,1.19,0,,,0,,67.44,0,33.72,29.655,3.82,,,,,,,,,,,,
22.98,,,56.331,1.8,22.98,0,22.98,30.627,0.81,0,,,0,,45.96,0,22.98,43.479,2.6,,,,,,,,,,,,
23688.94,,,0.044,1850.7,23688.94,0,23688.94,0.038,832.81,0,,,0,,47377.87,0,23688.94,0.041,2683.51,,,,,,,,,,,,
23414.82,,,0.045,1829.28,23414.82,0,23414.82,0.038,823.18,0,,,0,,46829.63,0,23414.82,0.041,2652.46,,,,,,,,,,,,
24015.77,,,0.044,1876.23,24015.77,0,24015.77,0.037,844.3,0,,,0,,48031.55,0,24015.77,0.04,2720.54,,,,,,,,,,,,
25486.8,,,0.041,1991.16,25486.8,0,25486.8,0.035,896.02,0,,,0,,50973.6,0,25486.8,0.038,2887.18,,,,,,,,,,,,
24766.82,,,0.04,1934.91,24766.82,0,24766.82,0.036,870.71,0,,,0,,49533.64,0,24766.82,0.038,2805.62,,,,,,,,,,,,
30.67,,,40.592,2.4,30.67,0,30.67,24.736,1.08,0,,,0,,61.33,0,30.67,32.664,3.47,,,,,,,,,,,,
22582.64,,,0.046,1764.27,22582.64,0,22582.64,0.039,793.92,0,,,0,,45165.28,0,22582.64,0.042,2558.19,,,,,,,,,,,,
22916.07,,,0.047,1790.32,22916.07,0,22916.07,0.038,805.64,0,,,0,,45832.14,0,22916.07,0.043,2595.96,,,,,,,,,,,,
22.29,,,55.023,1.74,22.29,0,22.29,34.721,0.78,0,,,0,,44.59,0,22.29,44.872,2.53,,,,,,,,,,,,
23390.72,,,0.044,1827.4,23390.72,0,23390.72,0.037,822.33,0,,,0,,46781.44,0,23390.72,0.041,2649.73,,,,,,,,,,,,
24728.85,,,0.042,1931.94,24728.85,0,24728.85,0.035,869.37,0,,,0,,49457.7,0,24728.85,0.038,2801.31,,,,,,,,,,,,
22896.66,,,0.045,1788.8,22896.66,0,22896.66,0.038,804.96,0,,,0,,45793.31,0,22896.66,0.041,2593.76,,,,,,,,,,,,
24.32,,,53.193,1.9,24.32,0,24.32,29.1,0.86,0,,,0,,48.65,0,24.32,41.146,2.76,,,,,,,,,,,,
23455.51,,,0.045,1832.46,23455.51,0,23455.51,0.037,824.61,0,,,0,,46911.03,0,23455.51,0.041,2657.07,,,,,,,,,,,,
23358.43,,,0.045,1824.88,23358.43,0,23358.43,0.037,821.19,0,,,0,,46716.86,0,23358.43,0.041,2646.07,,,,,,,,,,,,
22985.97,,,0.045,1795.78,22985.97,0,22985.97,0.038,808.1,0,,,0,,45971.94,0,22985.97,0.041,2603.88,,,,,,,,,,,,
22795.87,,,0.046,1780.93,22795.87,0,22795.87,0.039,801.42,0,,,0,,45591.74,0,22795.87,0.042,2582.34,,,,,,,,,,,,
23798.02,,,0.044,1859.22,23798.02,0,23798.02,0.036,836.65,0,,,0,,47596.04,0,23798.02,0.04,2695.87,,,,,,,,,,,,
19.3,,,69.382,1.51,19.3,0,19.3,34.219,0.68,0,,,0,,38.6,0,19.3,51.801,2.19,,,,,,,,,,,,
19.28,,,69.591,1.51,19.28,0,19.28,34.557,0.68,0,,,0,,38.56,0,19.28,52.074,2.18,,,,,,,,,,,,
22165.28,,,0.047,1731.66,22165.28,0,22165.28,0.04,779.25,0,,,0,,44330.56,0,22165.28,0.043,2510.91,,,,,,,,,,,,
21532.47,,,0.049,1682.22,21532.47,0,21532.47,0.041,757,0,,,0,,43064.93,0,21532.47,0.045,2439.22,,,,,,,,,,,,
18273.65,,,0.056,1427.63,18273.65,0,18273.65,0.049,642.43,0,,,0,,36547.3,0,18273.65,0.053,2070.06,,,,,,,,,,,,
24362.73,,,0.042,1903.34,24362.73,0,24362.73,0.036,856.5,0,,,0,,48725.46,0,24362.73,0.039,2759.84,,,,,,,,,,,,
